,pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,Latitude,Longitude,Address,Zip,RoomType,Bathrooms,SQM,PricePerSQM
885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96854924.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16.0,1.0,154.3,0.0,0.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.352795,-71.07987,746,2116.0,1.0,1.0,53.419225,48.8588144062
886,0.0,0.033,64.85,2.7489999999999997,0.0,3.569,3.4819999999999998,113629130.0,0.0,0.0,0.0,0.7020000000000001,0.359,0.149,0.12300000000000001,6.0,36.0,2.0,0.0,3.4819999999999998,0.018000000000000002,0.034,22.0,40.0,3.076,0.0,0.0,0.0,2.659,0.0,0.002,0.0,0.0,0.0,0.49200000000000005,0.0,10.54,42.343779999999995,-71.07395,1145,2116.0,2.0,2.0,160.44348100000002,26.1774425101
887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81322181.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,38.0,2.0,134.0,0.0,0.0,0.0,25.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.34577,-71.07113000000001,690,2116.0,2.0,1.0,74.3224,39.6919367512
888,2.827,0.0,19.12,1.879,0.0,47.04,0.0,45562831.0,0.595,0.0,0.0,0.0,0.877,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.0,22.0,3.0,0.297,0.0,0.158,0.0,0.0,0.138,1.851,2.03,0.0,0.0,0.0,0.0,2.3480000000000003,42.35365,-71.07807,1082,2116.0,1.0,2.0,165.738952,21.1175463448
889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77012858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,42.352165,-71.08358,1536,2116.0,1.0,1.0,63.174040000000005,41.9476101259
890,0.0,0.09300000000000001,79.06,1.357,0.0,11.78,0.001,125088600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,19.0,1.0,220.1,0.001,0.0,0.0,25.0,3.0,0.259,0.0,0.0,0.0,1.075,0.0,0.04,0.0,0.0,0.32,0.0,0.0,0.9420000000000001,42.35239,-71.07806,442,2116.0,1.0,1.5,139.3545,71.7594336745
891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77012858.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,2.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,42.352932,-71.08295,1430,2116.0,2.0,2.5,178.280857,42.068453821700004
892,2.9930000000000003,0.0,0.0,0.0,0.0,57.38,0.0,162403397.0,0.0,0.0,0.0,0.0,17.26,0.0,0.0,19.0,10.0,2.0,0.0,0.0,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.08800000000000001,0.0,4.103,0.0,1.0,0.0,42.34959,-71.08346999999999,1218,2116.0,1.0,1.0,51.09665,42.0771224728
893,0.0,0.026000000000000002,44.48,4.689,0.0,0.61,3.931,75319706.0,0.0,0.0,0.0,0.006999999999999999,0.0,0.0,0.348,4.0,22.0,2.0,87.4,3.931,0.23600000000000002,2.28,26.0,3.0,4.909,0.0,0.0,0.0,1.061,0.0,0.318,0.042,0.0,0.0,2.229,0.0,22.98,42.35498,-71.075356,477,2116.0,2.0,2.0,116.12875,36.597311174
894,0.0,0.098,59.8,2.838,0.0,0.08199999999999999,9.183,100810351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08199999999999999,5.0,14.0,2.0,375.2,9.183,0.107,0.0,14.0,16.0,6.047000000000001,0.0,0.0,0.0,1.955,0.0,0.146,0.0,0.0,0.0,0.0,1.0,16.97,42.344357,-71.08066,1127,2116.0,1.0,1.0,54.81276999999999,42.8732209666
